temperature,rainfall,humidity
49.96,12.83,71.36
96.06,67.28,26.73
78.56,38.29,32.93
67.89,55.77,91.88
32.48,91.68,68.51
32.48,32.44,20.74
24.65,46.93,28.12
89.29,78.0,73.08
68.09,30.59,20.4
76.65,16.93,32.86
21.65,36.08,63.9
97.59,24.51,75.35
86.6,93.67,72.16
36.99,82.73,37.94
34.55,67.01,76.97
34.67,88.43,38.98
44.34,82.33,46.03
61.98,26.79,79.72
54.56,90.33,71.97
43.3,58.54,87.94
68.95,82.67,72.61
31.16,90.65,65.46
43.37,38.62,27.49
49.31,19.9,49.42
56.49,30.51,41.22
82.81,48.44,39.52
35.97,83.62,97.84
61.14,87.47,51.45
67.39,10.63,91.36
23.72,55.97,70.49
68.6,47.57,83.58
33.64,29.99,60.21
25.2,20.79,66.15
95.91,40.39,59.4
97.25,94.86,35.62
84.67,39.09,77.8
44.37,56.69,42.46
27.81,73.27,21.95
74.74,42.73,71.64
55.21,97.46,34.17
29.76,96.62,95.24
59.61,32.66,96.31
22.75,54.75,93.19
92.75,37.08,49.61
40.7,35.64,21.24
73.0,13.32,94.27
44.94,64.86,54.25
61.61,55.24,97.33
63.74,14.63,97.09
34.79,35.08,88.24
97.57,91.74,43.56
82.01,31.56,50.81
95.16,23.04,88.09
91.59,54.05,45.35
67.83,98.71,33.56
93.75,31.78,64.54
27.08,70.49,94.89
35.68,78.55,75.68
23.62,31.39,65.6
46.03,75.54,27.77
51.09,43.1,69.2
41.71,66.91,99.2
86.3,67.02,31.21
48.54,58.22,61.47
42.47,18.13,90.19
63.42,85.18,79.26
31.27,38.87,75.76
84.18,26.79,76.2
25.96,13.67,48.76
98.95,63.18,43.49
81.78,70.98,84.75
35.9,11.49,84.81
20.44,56.09,89.37
85.24,30.38,93.06
76.55,68.07,60.91
78.32,25.69,60.12
81.7,72.18,83.86
25.92,44.81,72.0
48.68,94.31,76.16
29.27,22.38,83.66
89.05,40.7,91.2
69.86,20.21,47.04
46.47,93.22,50.05
25.08,88.96,27.52
44.88,33.21,66.26
46.01,69.4,22.88
78.37,83.55,57.25
71.0,59.97,63.41
90.98,57.67,42.92
57.78,31.77,67.27
29.57,18.38,22.44
77.06,90.75,22.99
80.86,91.04,85.81
64.9,66.98,48.82
81.68,40.51,30.16
59.5,41.43,61.78
61.82,75.34,81.6
54.2,90.74,37.27
22.03,89.84,69.83
28.63,80.19,26.83
